,nome,tipo,endereco,lei,nome_oficial,area,latitude,longitude
389,Vitoria Do Povo,Praça,Rua Jordania,,Praça Vitória do Povo,"2156,2766",-8.118321894,-34.94616099
390,Geraldo Vilas Boas,Praça,Rua Padre Manuel Ribeiro Da Rocha / R Barbara Heliodora / R Jose Do Patrocinio / R Cupertino Cintra,,Praça Geraldo Vilas Boas,"898,4454546",-8.131276898,-34.94911435
391,Dalva De Oliveira,Praça,Rua Guaranta / Rua Tocantinopolis / Rua Neopolis / Rua Sao Bento Do Una,,Praça Dalva de Oliveira,"1279,548747",-8.116224924,-34.94646448
392,Da Rua Quintino Bocaiuva,Praça,Rua Barao De Jaqui/Rua Comandante Garcia D'Avilla/R Quintino Bocaiuva/R Orestes Barbosa,,Praça da rua Quintino Bocaiuva,"1622,526345",-8.115533124,-34.91762026
393,Da Rua Clotilde Machado Ii,Praça,Rua Pintor Antonio Albuquerque/Rua Clotilde Machado/Rua Itacambira,,Praça da Rua Clotilde de Machado I e II,"1030,971457",-8.107275838,-34.92177898
394,Da Rua Clotilde Machado  I,Praça,Rua Itacambira/Rua Clotilde Machado/Rua Irapua,,Praça da Rua Clotilde de Machado I e II,"1221,103405",-8.107671976,-34.92143116
395,Prof. Jeronimo Gueiros,Praça,Rua Joraci Camargo / Rua Pianco / Rua Santa Agda / Rua Tamara,,Praça professor Jeronimo Gueiros,"2806,9584",-8.13499924,-34.9400395
396,Da Rua Jose Rodrigues,Praça,Rua Jose Rodrigues,,Praça da rua José Rodrigues,"319,7112451",-8.090992837,-34.89257984
397,Da Rua Guarabira,Praça,Rua Antonio Paes Barreto/ Rua Jose Da Silva Lucena / Rua Guarabira / Rua Sargento Silvino De Macedo,,Praça da rua Guarabira,"4369,880209",-8.114097516,-34.9074951
398,Campo De Pelada Carlos Rios,Praça,/ Rua Moacir Albuquerque,,Praça Campo de pelada Carlos Rios,"4655,198816",-8.085727266,-34.91051676
399,Do Terminal De Ônibus Da Ur-2,Praça,Rua Monica Raposo/ Avenida Santos,,Praça do Terminal de ônibus da UR-2,"134,4165693",-8.114574472,-34.95533183
400,Da Av Senador Robert Kennedy,Praça,Avenida Senador Robert Kennedy/Rua Condessa De Barral/ Rua Joao Ramalho/R Jose Fernandes Portugal,,Praça da Avenida Senador Robert Kennedy,"7036,075814",-8.117619511,-34.91837467
401,Da Chesf,Praça,Avenida Engenheiro Abdias De Carvalho/ Rua Delmiro Gouveia Rua Quinze De Marco,,Praça da CHESF,"15330,68555",-8.062636847,-34.93095874
402,Do Bueirao,Praça,Rua Barreto Campelo/ Rua Zilda S De Santana,,Praça do Bueirão,"9910,705467",-8.046109959,-34.91386863
403,Jacarezinho,Praça,Rua Iguatu/Travessa Garibaldi,,Praça Jacarezinho,"1502,539253",-8.018500505,-34.88289503
404,Chao De Estrelas,Praça,Rua Doutor Elias Gomes,,Praça Chão de Estrelas,"9859,462253",-8.020573233,-34.87994024
405,Novaes Filho,Praça,Rua Iguatu/ Rua Constanca/ R Coronel Mario  Liborio,,Praça Novaes Filho,"11766,57691",-8.016610587,-34.8819309
406,Do Iml,Praça,Rua Engenho Babilonia / Rua Engenho Titara / Rua Engenho Mameluco,16457/99,Praça do IML,"387,2821409",-8.11286166,-34.94932137
407,Getulio Vargas,Praça,Rua Raul Morais/Avenida General San Martin/ Rua Tomaz Gonzaga,,Praça Getulio Vargas,"478,3083861",-8.054004913,-34.92272441
408,Santa Lucia,Praça,Avenida Mauricio De Nassau/ R Santa Lucia/ Trv Santa Lucia,,Praça Santa Lucia,"374,0356016",-8.039151075,-34.93011995
409,Chico Scince,Praça,Avenida Abdias De Carvalho,,Praça Chico Scince,"2122,671134",-8.061929077,-34.90169642
410,Dr Jose De Melo,Praça,Rua Padre Roma/ Rua Sebastiao Malta Arco Verde/Rua Afonso Celso,,Praça Doutor Jose de Melo,"314,9762781",-8.032712668,-34.90740837
411,Dr Jose De Melo,Praça,Rua Sebastiao Alves/ Rua Afonso Celso,,Praça Doutor Jose de Melo,"123,9371364",-8.032659255,-34.90713144
412,Alto Da Serrinha,Praça,Rua Alto Da Serrinha/Rua Alto Do Tiro,,Praça Alto da Serrinha,"296,1413762",-8.012648303,-34.90931455
413,Alto Da Serrinha,Praça,Rua Alto Da Serrinha/Rua Alto Brasil,,Praça Alto da Serrinha,"32,65421047",-8.012563637,-34.90911644
414,Arão Botler,Praça,Avenida Cidade De Monteiro/Rua Arao Botler,,Praça Arão Botler,"291,6971462",-8.008670426,-34.88814566
415,Treze De Junho,Praça,Avenida Prof Jose Dos Anjoa/ Rua Santos Dumont/R Treze De Junho,,Praça Treze de Junho,"152,7096939",-8.028282743,-34.894669
416,Treze De Junho,Praça,Avenida Santoa Dumont/Rua Treze De Junho/Avenida Prof Jose Dos Anjos,,Praça Treze de Junho,"694,077783",-8.028376755,-34.89501515
417,Das Flores,Praça,Rua Euclides Fonseca/Rua Dr Jose Higino Ribeiro Campos/R Prof Joao Rodrigues,,Praça das Flores,"243,970787",-8.033250341,-34.89383251
418,Encanamento,Praça,Estrada Do Encanamento,,Praça Encanamento,"2065,990973",-8.031791658,-34.91409823
419,Bambu,Praça,Rua Nova Cruz / Rua Diamantina,,Praça Bambu,"946,3491635",-8.121702686,-34.9544336
420,Da Biblia,Praça,Estrada Da Mumbeca/ Travessa Da Estrada Da Mumbeca,15568/92,Praça da Biblia,"529,6176626",-7.964861101,-34.92333092
421,Souto Filho,Praça,Rua Hoel Sette/Avenida Conselheiro Rosa E Silva/ Rua Do Futuro,05640/59,Praça Souto Filho,"5582,462505",-8.036102966,-34.90287433
422,Prof. Calazans,Praça,Rua Galvao Raposo/Rua Jose Higino/ Rua Menezes Drumond/R Ernani Braga,07413/61,Praça Professor Calazans,"3904,648033",-8.050560695,-34.91019588
423,Odília Freire Dos Santos,Praça,Avenida Montevideu/Avenida Governador Agamenon Magalhaes,,Praça Odília Freire dos Santos,"601,2040913",-8.04948682,-34.89307306
424,Aureo Xavier / Des Adauto C De Araujo,Praça,Rua Aureo Xavier/Rua Francisco Vita / R Dom Jose Pereira Alves,,Praça Aúreo Xavier,"932,4062466",-8.050663593,-34.92580564
425,Aureo Xavier/ Des Adauto C De Araujo,Praça,Rua Aureo Xavier/ R Dom Jose Pereira Alves/Estrada Do Forte Do Arraial Novo Do Bom Jesus,,Praça Aúreo Xavier,"983,0115446",-8.050232683,-34.92658325
426,Cosme Viana,Praça,Rua Padre Teofilo Tworz/ Rua Cosme Viana,,Praça Cosme Viana,"1969,610315",-8.065654813,-34.90883536
427,Industrial Miguel Santos,Praça,Rua Pedro Americo Galvao/Rua Baltazar Pereira,15003/87,Praça Industrial Miguel Santos,"1476,884316",-8.101388665,-34.88607995
428,Esmeraldas,Praça,Rua Engenho Buranhem / Rua Engenho Cabucu / Rua Engenho Matapagipe,,Praca Esmeralda,"1174,270711",-8.114716636,-34.94712554
429,Jockey Clube,Praça,Dentro Do Joquei Club,,Praça Jockey Clube,"1557,964633",-8.061409382,-34.91336654
430,São Francisco/ Amante Das Flores,Praça,Avenida Rio Sao Francisco / Rua Jaguaruna / Rua Caraubas,13170/78,Praça São Francisco/Amante das Flores,"1558,139309",-8.115585041,-34.94599427
431,Conselheiro João Alfredo / Sobrado Grande,Praça,Rua Real Da Torre/ Rua Benfica,,Praça Conselheiro João Alfredo,"364,7600437",-8.057328865,-34.908882
432,Conselheiro João Alfredo,Praça,Rua Benfica/Avenida Caxanga,,Praça Conselheiro João Alfredo,"296,9778153",-8.056885206,-34.90932343
433,Do Anfiteatro,Praça,Rua Alto Do Reservatorio,,Praça do Anfiteatro,"2206,708145",-8.001463173,-34.935715
434,Chayenne,Praça,Avenida Beberibe/Rua Judith/ R Do Anil,,Praça Chayenne,"1505,979271",-8.006060549,-34.8922996
435,Castro Alves,Praça,Avenida Norte Miguel Arraes De Alencar/R Natividade Saldanha/Rua Marechal Deodoro,,Praça Castro Alves,"2025,110578",-8.04000747,-34.88705319
436,Bomba Do Hemeterio,Praça,Rua Bomba Do Hemeterio/ Rua Cha De Alegria,,Praça Bomba do Hemetério,"869,8145619",-8.020226629,-34.90323444
437,Alfredo Ozório,Praça,Rua Alfredo Ozório / Rua São Vicente,,Praça Alfredo Ozório,"342,7168446",-8.029367443,-34.90649245
438,Ayrton Senna,Praça,Rua Engenho Bom Destino / R Engenho Agua Branca  / R Engenho Serra Grande / R Engenho Tres Marias,,Praça Ayrton Senna,"989,175602",-8.113411477,-34.951048
439,Virgilio De Oliveira,Praça,Rua Virgilio Oliveira/ Rua Monsenhor Lobo /Rua Tito Livio Soares,,Praça Virgilio de Oliveira,"1470,53894",-8.037376007,-34.92241367
440,3º Jardim De Boa Viagem,Praça,Avenida Boa Viagem,,Praça 3º Jardim de Boa Viagem,"1859,501519",-8.10823516,-34.88845837
441,Sargento  Max Wolf Filho,Praça,Rua Florentino Olimpio Dos Santos/Rua Sargento  Wolff,,Praça Sargento Max Wolf Filho,"1231,986965",-8.071654519,-34.9114084
