,ano,nome_entidade,data_ano_letivo_inicio,data_ano_letivo_termino
250,2017,ESCOLA MUNICIPAL OCTAVIO DE MEIRA LINS,2017-02-01T00:00:00,2017-12-22T00:00:00
251,2017,ESCOLA MUNICIPAL MARGARIDA DE SIQUEIRA PESSOA,2017-02-03T00:00:00,2017-12-22T00:00:00
252,2017,ESCOLA UNIVERSO INFANTIL,2017-02-03T00:00:00,2017-12-28T00:00:00
253,2017,ESCOLA PROFISSIONALIZANTE DE TECNICO DE ENFERMAGEM,2017-02-07T00:00:00,2017-12-20T00:00:00
254,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO AGEU MAGALHAES,2017-02-02T00:00:00,2017-12-22T00:00:00
255,2017,ESCOLA MUNICIPAL PADRE ANTONIO HENRIQUE,2017-02-01T00:00:00,2017-12-22T00:00:00
256,2017,ESCOLA MUNICIPAL CORREGO DA AREIA,2017-02-03T00:00:00,2017-12-22T00:00:00
257,2017,ESCOLA TOCA DO COELHINHO,2017-02-01T00:00:00,2017-12-29T00:00:00
258,2017,EDUCANDARIO GENTE INOCENTE,2017-02-01T00:00:00,2017-12-30T00:00:00
259,2017,ESCOLA VIRGEM DE FATIMA,2017-02-01T00:00:00,2017-12-29T00:00:00
260,2017,ESCOLA MUNICIPAL SOCIOLOGO GILBERTO FREYRE,2017-02-01T00:00:00,2017-12-22T00:00:00
261,2017,ESCOLA MUNICIPAL ANDRE DE MELO,2017-02-03T00:00:00,2017-12-22T00:00:00
262,2017,ESCOLA MUNICIPAL PROFESSOR RICARDO GAMA,2017-02-01T00:00:00,2017-12-22T00:00:00
263,2017,ESCOLA MUNICIPAL NOVA AURORA,2017-02-01T00:00:00,2017-12-22T00:00:00
264,2017,ESCOLA MUNICIPAL ANITA PAES BARRETO,2017-02-03T00:00:00,2017-12-22T00:00:00
265,2017,ESCOLA MUNICIPAL OLINDINA MONTEIRO DE OLIVEIRA FRANCA,2017-02-01T00:00:00,2017-12-22T00:00:00
266,2017,ESCOLA MUNICIPAL ANTONIO TIBURCIO,2017-02-03T00:00:00,2017-12-22T00:00:00
267,2017,COLEGIO DOURADO,2017-02-01T00:00:00,2017-12-26T00:00:00
268,2017,ESCOLA PROFESSOR LEAL DE BARROS,2017-02-02T00:00:00,2017-12-22T00:00:00
269,2017,ESCOLA MUNICIPAL NOSSA SENHORA DO PILAR,2017-02-03T00:00:00,2017-12-22T00:00:00
270,2017,ESCOLA DE ENFERMAGEM SAO CAETANO,2017-01-09T00:00:00,2017-12-19T00:00:00
271,2017,CENTRO EDUCACIONAL MACHADO DE ASSIS,2017-02-01T00:00:00,2017-12-29T00:00:00
272,2017,ESCOLA MUNICIPAL MARIA DE SAMPAIO LUCENA,2017-02-03T00:00:00,2017-12-22T00:00:00
273,2017,ESCOLA FACULDADE DA CRIANCA,2017-02-02T00:00:00,2017-12-29T00:00:00
274,2017,ESCOLA MUNICIPAL MONSENHOR VIANA,2017-02-01T00:00:00,2017-12-22T00:00:00
275,2017,ESCOLA HERONILDA ARAGAO,2017-02-06T00:00:00,2017-12-30T00:00:00
276,2017,EDUCANDARIO NOVA ERA,2017-02-06T00:00:00,2017-12-29T00:00:00
277,2017,ESCOLA PEQUENO APRENDIZ,2017-02-01T00:00:00,2017-12-29T00:00:00
278,2017,COLEGIO E CURSO VENCER,2017-01-02T00:00:00,2017-12-29T00:00:00
279,2017,CRECHE MUNICIPAL FLOR DO BAIRRO DA GUABIRABA,2017-02-06T00:00:00,2017-12-21T00:00:00
280,2017,IGRA-INSTITUTO GRADUAL DE EDUCACAO PROFISSIONAL LTDA,2017-01-09T00:00:00,2017-12-20T00:00:00
281,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANIBAL FERNANDES,2017-02-02T00:00:00,2017-12-22T00:00:00
282,2017,ESCOLINHA DA ELBA,2017-02-01T00:00:00,2017-12-28T00:00:00
283,2017,EDUCANDARIO RITA DE CASSIA,2017-02-01T00:00:00,2017-12-28T00:00:00
284,2017,COLEGIO SER E CRESCER,2017-02-01T00:00:00,2017-12-29T00:00:00
285,2017,INVEST CENTRO EDUCACIONAL,2017-02-01T00:00:00,2017-12-29T00:00:00
286,2017,CENTRO COMUN SEMENTE DE UM NOVO MUNDO,2017-02-01T00:00:00,2017-12-22T00:00:00
287,2017,ESCOLA CASTELO ENCANTADO LTDA,2017-02-01T00:00:00,2017-12-29T00:00:00
288,2017,ESCOLA MANOEL BORBA,2017-02-02T00:00:00,2017-12-22T00:00:00
289,2017,ESCOLA SYLVIO RABELO,2017-02-02T00:00:00,2017-12-22T00:00:00
290,2017,ESCOLA MUNICIPAL DOUTOR CAETE,2017-02-02T00:00:00,2017-12-22T00:00:00
291,2017,COLEGIO ANCHIETA,2017-02-01T00:00:00,2017-12-27T00:00:00
292,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO ENGENHEIRO LAURO DINIZ,2017-02-02T00:00:00,2017-12-22T00:00:00
293,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO APOLONIO SALES,2017-02-02T00:00:00,2017-12-22T00:00:00
294,2017,ESCOLA PEDRO CELSO,2017-02-02T00:00:00,2017-12-22T00:00:00
295,2017,CRECHE COM N SRA DA BOA VIAGEM,2017-02-01T00:00:00,2017-12-22T00:00:00
296,2017,ESCOLA DE REFERENCIA EM ENSINO MEDIO LAGOA ENCANTADA,2017-02-02T00:00:00,2017-12-22T00:00:00
297,2017,ESCOLA CONVISAO,2017-02-01T00:00:00,2017-12-28T00:00:00
298,2017,COLEGIO SABER FAZER LTDA ME,2017-02-01T00:00:00,2017-12-29T00:00:00
299,2017,COLEGIO E CURSO MICKEYLANDIA,2017-02-01T00:00:00,2017-12-29T00:00:00
300,2017,CRECHE MUNICIPAL SITIO DO CARDOSO,2017-02-03T00:00:00,2017-12-22T00:00:00
301,2017,ESCOLA MUNICIPAL PROFESSOR JOAO BATISTA LIPPO NETO,2017-02-03T00:00:00,2017-12-22T00:00:00
302,2017,CRECHE MUNICIPAL VOVO ARTUR,2017-02-03T00:00:00,2017-12-22T00:00:00
303,2017,ESCOLA RECREIO DA TIA MARTA,2017-03-06T00:00:00,2017-12-29T00:00:00
304,2017,ESCOLA MARAVILHA,2017-02-01T00:00:00,2017-12-29T00:00:00
305,2017,GRUPO GENESE DE ENSINO LTDA,2017-02-01T00:00:00,2017-12-29T00:00:00
306,2017,ESCOLA ADVENTISTA DE SAN MARTIN,2017-02-08T00:00:00,2017-12-29T00:00:00
307,2017,BL CARNAVAL CRIANCA SEM EDUC E CRIANCA SEM FUTURO,,
308,2017,FACULDADE INFANTIL,,
309,2017,U BL CAR URSO LA VAI ELE E AS GOST DO BONGI,,
310,2017,CRECHE MUNICIPAL UNIDOS VENCEREMOS,2017-02-03T00:00:00,2017-12-22T00:00:00
311,2017,ESCOLA VITORIA REGIA,,
312,2017,ESCOLA PATRIA UNIDA,2017-02-01T00:00:00,2017-12-29T00:00:00
313,2017,ESCOLA MUNICIPAL NOVA DESCOBERTA,2017-02-23T00:00:00,2017-12-22T00:00:00
