,nome,endereco,latitude,longitude
41,COMUNIDADE SETE DE MAIO,"Rua Sargto.Silvio Delmar Holhembch - Imbiribeira, Recife - PE, 51150-000, Brazil",-8.1036182,-34.9091862
42,CONJ HAB VIA MANGUE-01,"R. Jemil Asfora, 160 - Pina, Recife - PE, 51110-200, Brazil",-8.0876077,-34.8928378
43,CONJ HAB VIA MANGUE-02,"R. Amador Bueno, 18 - Pina, Recife - PE, 51110-310, Brazil",-8.0884771,-34.8966573
44,EMLURB SEDE-01,"Av. Governador Carlos de Lima Cavalcanti, 1 - Boa Vista, Recife - PE, 50070-110, Brazil",-8.05625884869958,-34.8953973301561
45,ESCOLA PROFISSIONAL DE AREIAS-01,"R. Ipojuca, 257 - Areias, Recife - PE, 50780-010, Brazil",-8.09407540005368,-34.9359035578059
46,ESCOLA SOCIAL DA COMUNIDADE BEM-01,"R. B, 23 - Imbiribeira, Recife - PE, 51150-290, Brazil",-8.10458557003434,-34.9066710982661
47,EXPOSICAO DO CORDEIRO-01,"Baobá - Av. Gov. Paulo Pessoa Guerra - Cordeiro, Recife - PE, 50711-490, Brazil",-8.0444751,-34.9253497
48,FORTE DO BRUM-01,"Porto Digital do - Recife, PE, 50030-230, Brazil",-8.05374599241129,-34.8708103049242
49,HABITACIONAL ENCANTA MOCA-01,"R. José Rodrigues, 85 - Pina, Recife - PE, 51011-480, Brazil",-8.09700161921519,-34.8891990491791
50,HABITACIONAL ENCANTA MOCA-02,"R. José Rodrigues, 160 - Pina, Recife - PE, 51011-400, Brazil",-8.09610366363759,-34.8901132631572
51,HABITACIONAL SERGIO LORETO-01,"Praça Sérgio Lorêto, 1044 - São José, Recife - PE, 50020-200, Brazil",-8.07181226608559,-34.885130163475
52,HABITACIONAL TRAVESSA DO GUSMAO-01,"Tv. do Gusmão, 91 - São José, Recife - PE, 50020-520, Brazil",-8.07235701995706,-34.8872913536394
53,HOSPITAL VETERINARIO DO RECIFE-01,"Av. Prof. Estevão F. da Costa, 23 - Cordeiro, Recife - PE, 50620-450, Brazil",-8.04437368837036,-34.9201174644189
54,ILHA DE DEUS-01,"R. Vila Neto, 30 - Pina, Recife - PE, 51110-430, Brazil",-8.087505,-34.900726
55,JARDIM BOTANICO-01,"Av. Getúlio Vargas, 1251 - Curado - Curado, Recife - PE, 50950-000, Brazil",-8.07531971958836,-34.9655562574108
56,LAGOA DO ARACA-01,"R. Eng. José Brandão Cavalcante, 770-778 - Imbiribeira, Recife - PE, 51170-130, Brazil",-8.09271158293552,-34.9158625900914
57,LARGO DA ENCRUZILHADA-01,"R. Dr. José Maria, 52 - Encruzilhada, Recife - PE, 52081-430, Brazil",-8.0371559,-34.8919026
58,LUIS INACIO PESSOA DE MELO,"R. Couto Magalhães, S/N - Rosarinho, Recife - PE, 52041-330, Brazil",-8.0306641,-34.8948969
59,MERCADO AFOGADOS-01,"Mercado Público-Box 357 - Estr. dos Remédios, S/N - Afogados, Recife - PE, 50770-120, Brazil",-8.07808351698442,-34.9064205600521
60,MERCADO BOA VISTA-01,"R. da Santa Cruz, 140 - Boa Vista, Recife - PE, 50060-230, Brazil",-8.06302976677828,-34.8887334027861
61,MERCADO BOA VISTA-02,"R. da Santa Cruz, 140 - Boa Vista, Recife - PE, 50060-230, Brazil",-8.06302976677828,-34.8887334027861
62,MERCADO BOA VISTA-03,"R. da Santa Cruz, 140 - Boa Vista, Recife - PE, 50060-230, Brazil",-8.06302976677828,-34.8887334027862
63,MERCADO CASA AMARELA-01,"R. Padre Lemos, 91-147 - Casa Amarela, Recife - PE, 52070-240, Brazil",-8.025808817359,-34.9177188583731
64,MERCADO CASA AMARELA-02,"R. Padre Lemos, 88 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.0258965539659,-34.9177300947022
65,MERCADO CASA AMARELA-03,"R. Padre Lemos, 86 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02595865355741,-34.9177041901101
66,MERCADO CASA AMARELA-04,"R. Padre Lemos, 94 - Box 95-96 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02594078661722,-34.9172373099013
67,MERCADO CASA AMARELA-05,"R. Padre Lemos, 94 - Box 95-96 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02584140174805,-34.9172666308806
68,MERCADO CASA AMARELA-06,"Mercado Público de Casa Amarela - box 27 - R. Padre Lemos - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02572749995797,-34.9172418208212
69,MERCADO CORDEIRO-01,"Av. Gen. San Martin, 163 - Jiquiá, Recife - PE, 50630-060, Brazil",-8.0515331524673,-34.9216563633609
70,MERCADO CORDEIRO-02,"Rua Honório Correia, 251 - Cordeiro, Recife - PE, 50630-050, Brazil",-8.05170666249303,-34.9217609624722
71,MERCADO CORDEIRO-03,"Rua Honório Correia, 251 - Cordeiro, Recife - PE, 50630-050, Brazil",-8.05188689763484,-34.921822091823
72,MERCADO CORDEIRO-04,"R. Nissin Bensoussan, 136 - Cordeiro, Recife - PE, 50630-030, Brazil",-8.05164863510342,-34.9214489644981
73,MERCADO CORDEIRO-05,"Av. Gen. San Martin, S/n - Cordeiro, Recife - PE, 50630-030, Brazil",-8.05169555500272,-34.9214187453745
74,MERCADO DOS COELHOS-01,"R. Dr. José Mariano, S/N - Boa Vista, Recife - PE, 50060-290, Brazil",-8.06584949666541,-34.8878464263196
75,MERCADO ENCRUZILHADA-01,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112478
